title,link,category,reaction
“통장 봤더니 200원”…붕어빵 ‘계좌이체’ 거부하는 사연 [잇슈 키워드],https://n.news.naver.com/article/056/0011604217?ntype=RANKING,사회,부정
행정전산망 오류 이어 ‘정부24’도 중단…“오늘 복구 기다려봐야”,https://n.news.naver.com/article/056/0011604543?ntype=RANKING,정치,부정
"러 매체 “한국 청년, 러시아군 자원입대해 실전 투입” [현장영상]",https://n.news.naver.com/article/056/0011604417?ntype=RANKING,정치,부정
배달된 쿠팡 상자서 살아 있는 쥐 나와…방역 업체가 포획,https://n.news.naver.com/article/056/0011604633?ntype=RANKING,사회,부정
“파리채로 내리쳐도 빈대가 죽을까?”…빈대 퇴치 행동요령 [오늘 이슈],https://n.news.naver.com/article/056/0011604585?ntype=RANKING,세계,부정
"‘이재명 민주당’에 환멸 느낀 이상민, 독자 행보로 탈당 신호탄 쏘나[주간 여의도 Who?]",https://n.news.naver.com/article/081/0003409616?ntype=RANKING,정치,부정
김포시 “시민 68%가 서울 편입 찬성” 여론조사 결과발표,https://n.news.naver.com/article/081/0003409653?ntype=RANKING,사회,부정
"“한파 속 잠옷 입은 치매아빠에 외투 벗어주고 간 시민”…딸, 눈물 쏟았다",https://n.news.naver.com/article/081/0003409628?ntype=RANKING,생활/문화,부정
"“모텔에 여학생 감금 성폭행, 실시간 방송한” 고교생 무더기 기소",https://n.news.naver.com/article/081/0003409624?ntype=RANKING,사회,부정
손자 이재용에 ‘징역 5년’ 구형된 날...용인서 이병철 36주기 추도식,https://n.news.naver.com/article/081/0003409648?ntype=RANKING,사회,부정
‘행정망 먹통’ 남편 화장장에 안치도 못 하고…전국 대혼란,https://n.news.naver.com/article/028/0002665058?ntype=RANKING,사회,부정
"두 다리 절단한 4살 “걸으러 나가고 싶어, 삼촌…근데 엄마는?”",https://n.news.naver.com/article/028/0002665052?ntype=RANKING,생활/문화,부정
"질병청표 빈대 퇴치법 “다리미로 30초, 헤어드라이어로 60초”",https://n.news.naver.com/article/028/0002665076?ntype=RANKING,사회,부정
"민주 “전자정부마저 허무는 윤 정부, 국가 마비시키려는 건가”",https://n.news.naver.com/article/028/0002665081?ntype=RANKING,정치,부정
400년 전 환향녀 목소리 들려준 ‘연인’…“제 잘못이 아닙니다”,https://n.news.naver.com/article/028/0002665000?ntype=RANKING,생활/문화,부정
"16세 정동원, 20억 합정 주상복합 매입…임영웅 이웃사촌 됐다",https://n.news.naver.com/article/025/0003322325?ntype=RANKING,사회,부정
"대구 찾은 한동훈, 아내도 첫 공개행보…총선 출마 임박 시그널?",https://n.news.naver.com/article/025/0003322363?ntype=RANKING,정치,부정
"대낮 여성 성폭행한 80대…""고령이라서"" 귀가조치한 경찰",https://n.news.naver.com/article/025/0003322305?ntype=RANKING,세계,부정
"[속보] 이재용 공판 출석 ""앞으로 나아가는데 집중할 기회 부탁""",https://n.news.naver.com/article/025/0003322375?ntype=RANKING,정치,부정
빈대 30초 만에 퇴치법…집에 나타난다면 '이것' 꺼내세요,https://n.news.naver.com/article/025/0003322349?ntype=RANKING,세계,부정
"검찰, 이재용 징역 5년·벌금 5억 구형…""공짜 경영승계""",https://n.news.naver.com/article/215/0001134849?ntype=RANKING,사회,부정
"윤 대통령, 시진핑과 악수…회담하나?",https://n.news.naver.com/article/215/0001134794?ntype=RANKING,정치,부정
"""저점에서 20배 올랐다""…진격의 비트코인 '1억설 솔솔'",https://n.news.naver.com/article/215/0001134899?ntype=RANKING,경제,부정
"역시 임영웅 콘서트, 전 지역 전석 매진",https://n.news.naver.com/article/215/0001134807?ntype=RANKING,생활/문화,부정
"韓 증권사, 공매도 금지 영향 평가 너무 틀려 외국인 자금 이탈?…너무 많이 들어온다 [한상춘의 지금세계는]",https://n.news.naver.com/article/215/0001134793?ntype=RANKING,경제,부정
"한동훈 ""외국인 정책, 우리 국민 도움되기 위한 것""…총선 질문엔 구체적 답 안해",https://n.news.naver.com/article/437/0000367499?ntype=RANKING,정치,부정
"""윤 대통령 사과해야""…'장모 유죄'에 손팻말 다시 등장",https://n.news.naver.com/article/437/0000367508?ntype=RANKING,세계,부정
"행안부 ""민원서류 서비스 복구, 쉽지 않지만 최대한 노력""(종합)",https://n.news.naver.com/article/437/0000367494?ntype=RANKING,사회,부정
"장경태·박찬대 ""이재명 대표 험지 출마?…전국 유세 다녀야""",https://n.news.naver.com/article/437/0000367482?ntype=RANKING,정치,부정
[단독] 교장이 수능날 같은 학교 교사 강제추행…현행범 체포,https://n.news.naver.com/article/437/0000367439?ntype=RANKING,사회,부정
"“폐지 할머니께 유통기한 지난 음식 주는 엄마, 괜찮나”",https://n.news.naver.com/article/005/0001652857?ntype=RANKING,사회,부정
“1만5000원어치 맞아?” 유튜버도 놀란 광장시장 물가,https://n.news.naver.com/article/005/0001652949?ntype=RANKING,경제,부정
"조국 “윤석열씨, ‘정권 파탄’과 ‘가정 파탄’ 중 어느 것 택할까”",https://n.news.naver.com/article/005/0001652918?ntype=RANKING,정치,부정
이준석 “당 전권 주면 120석 자신… 그래도 역적 될 것”,https://n.news.naver.com/article/005/0001652934?ntype=RANKING,정치,긍정
화장실서 여친 살해한 해경… 임용 전 ‘성범죄 전과’도,https://n.news.naver.com/article/005/0001652948?ntype=RANKING,사회,부정
"검찰, 이재용 징역 5년 구형…""공짜 경영권 승계""",https://n.news.naver.com/article/422/0000629899?ntype=RANKING,사회,부정
"""한국 청년, 러시아군 자원입대해 돈바스에 배치""",https://n.news.naver.com/article/422/0000629911?ntype=RANKING,세계,부정
행정망 종일 먹통…주민센터·정부24 서류발급 차질,https://n.news.naver.com/article/422/0000629905?ntype=RANKING,사회,부정
김기현-인요한 전격 회동…'횡재세' 놓고 여야 공방,https://n.news.naver.com/article/422/0000629882?ntype=RANKING,정치,긍정
"'용산 집단마약 모임' 주도범 2명 첫 재판…""혐의 인정""",https://n.news.naver.com/article/422/0000629887?ntype=RANKING,세계,부정
이재용 회장 징역 5년 구형에 삼성 ‘충격·당혹’…1심 선고는 언제?,https://n.news.naver.com/article/009/0005216770?ntype=RANKING,사회,부정
"“내가 뭐가 아쉬워 사기치겠나”…‘공범의혹’ 부인 남현희, 무슨일이",https://n.news.naver.com/article/009/0005216468?ntype=RANKING,정치,부정
초등학생 동생 5년간 성폭행한 친오빠…부모는 딸 도움 호소 외면,https://n.news.naver.com/article/009/0005216867?ntype=RANKING,사회,부정
"평균연봉 1억 넘는데 ‘줄퇴사’…산업은행, 역대급 신입직원 구하기 주목",https://n.news.naver.com/article/009/0005216652?ntype=RANKING,경제,부정
구본무 롤렉스 받았다 세금폭탄?…LG트윈스 오지환 복잡하게 만든 셈법,https://n.news.naver.com/article/009/0005216592?ntype=RANKING,사회,부정
"대구 찾은 한동훈, '총선 출마설'에 ""의견 많을 수 있다""",https://n.news.naver.com/article/011/0004262950?ntype=RANKING,정치,부정
'임영웅 사는 연예인 아파트'…'트롯 왕자' 정동원이 매입한 20억대 주상복합은 어디,https://n.news.naver.com/article/011/0004262864?ntype=RANKING,경제,부정
"중고 거래로 만난 男과 모텔 갔다가…43분간 감금당한 여성, 왜?",https://n.news.naver.com/article/011/0004262634?ntype=RANKING,사회,부정
수능 이틀전 사라진 수험생…어디로 갔나 위치 추적해보니 '헉',https://n.news.naver.com/article/011/0004262596?ntype=RANKING,사회,부정
성적 낮게 줬다고…방망이로 스승 살해한 美 10대들 '종신형',https://n.news.naver.com/article/011/0004263070?ntype=RANKING,스포츠,부정
"‘트로트 왕자’ 정동원, 20억대 주상복합 매입…임영웅과 이웃 됐다",https://n.news.naver.com/article/016/0002226329?ntype=RANKING,경제,부정
"조국, 尹대통령에 ‘윤석열씨’…“김건희특별법, 가정파탄? 정권파탄?”",https://n.news.naver.com/article/016/0002226176?ntype=RANKING,정치,부정
[속보] ‘징역 5년 구형’ 이재용 “제가 감당할 몫…다른 이들은 선처해달라”,https://n.news.naver.com/article/016/0002226442?ntype=RANKING,사회,부정
"“3억 놓고 지독한 몸싸움” 낯익은 ‘얼굴’…뒤늦게 알고보니, 이런 일이",https://n.news.naver.com/article/016/0002225943?ntype=RANKING,스포츠,부정
육사 ‘독립영웅실’ 30일까지 철거…“민심 반하는 역사 쿠데타”,https://n.news.naver.com/article/016/0002226361?ntype=RANKING,세계,부정
"與 ""尹 장모, 억울한 측면 있어…文정권 검찰서 무리하게 기소""",https://n.news.naver.com/article/001/0014338378?ntype=RANKING,사회,부정
"민주 ""연합뉴스TV를 마약사범·갑질투기꾼 을지재단에 넘기려해""",https://n.news.naver.com/article/001/0014338802?ntype=RANKING,사회,부정
"대구찾은 한동훈, '검사탄핵'에 ""민주당 내부교통정리 먼저해야""",https://n.news.naver.com/article/001/0014338504?ntype=RANKING,정치,부정
"[속보] 이재용 ""온전히 앞으로 나아가는데 집중하게 기회 부탁""",https://n.news.naver.com/article/001/0014338873?ntype=RANKING,정치,부정
'개식용 금지' 특별법 연내 추진…2027년부터 도살·판매 등 단속,https://n.news.naver.com/article/001/0014338060?ntype=RANKING,세계,부정
